ROI;Condition;Subject;Depth;Vertices;PSC
V2;PS;2;6;2180.0;-1.6159934789876722
V2;PS;2;7;2180.0;-1.4919226019711271
V2;PS;2;8;2180.0;-1.2040046242734241
V2;PS;2;9;2180.0;-0.9044645443370489
V2;PS;2;10;2180.0;-0.7507725255672828
V2;PS;3;0;2749.0;-1.0350948250094518
V2;PS;3;1;2749.0;-0.9034277661247646
V2;PS;3;2;2749.0;-1.0305310521909474
V2;PS;3;3;2749.0;-1.3230834748903637
V2;PS;3;4;2749.0;-1.6877638259053773
V2;PS;3;5;2749.0;-2.0312508969183516
V2;PS;3;6;2749.0;-2.26022347961165
V2;PS;3;7;2749.0;-2.285416660279245
V2;PS;3;8;2749.0;-2.1139307778938865
V2;PS;3;9;2749.0;-1.8509687555376517
V2;PS;3;10;2749.0;-1.6061373119665254
V2;PS;4;0;1999.0;-1.7246220635974785
V2;PS;4;1;1999.0;-1.5178937295500898
V2;PS;4;2;1999.0;-1.6253199271995007
V2;PS;4;3;1999.0;-1.9361712675638498
V2;PS;4;4;1999.0;-2.3397183616612742
V2;PS;4;5;1999.0;-2.7252318205099115
V2;PS;4;6;1999.0;-2.981982255127901
V2;PS;4;7;1999.0;-3.003988111675963
V2;PS;4;8;1999.0;-2.798061993791184
V2;PS;4;9;1999.0;-2.485844184313144
V2;PS;4;10;1999.0;-2.1941295462742643
V2;PS;5;0;3020.0;-1.7405999544846458
V2;PS;5;1;3020.0;-1.471753491307303
V2;PS;5;2;3020.0;-1.671039043019992
V2;PS;5;3;3020.0;-2.146044337307009
V2;PS;5;4;3020.0;-2.7043571018526467
V2;PS;5;5;3020.0;-3.153565064341201
V2;PS;5;6;3020.0;-3.301255952456966
V2;PS;5;7;3020.0;-2.9665021198521084
V2;PS;5;8;3020.0;-2.2412157874181475
V2;PS;5;9;3020.0;-1.4950679664837492
V2;PS;5;10;3020.0;-1.1101981774471632
V2;PS;6;0;275.0;-1.5567848237027668
V2;PS;6;1;275.0;-0.9601974832954706
V2;PS;6;2;275.0;-0.8496019746004594
V2;PS;6;3;275.0;-1.053897338832458
V2;PS;6;4;275.0;-1.401982617206191
V2;PS;6;5;275.0;-1.722756850936383
V2;PS;6;6;275.0;-1.8451190812377587
V2;PS;6;7;275.0;-1.6081915315445834
V2;PS;6;8;275.0;-1.0939682164444644
V2;PS;6;9;275.0;-0.6316935821595988
V2;PS;6;10;275.0;-0.561711072875285
V2;CD;0;0;5259.0;-1.0559609996990145
V2;CD;0;1;5259.0;-0.9209714668303102
V2;CD;0;2;5259.0;-1.0795865212119258
V2;CD;0;3;5259.0;-1.4299969698856931
V2;CD;0;4;5259.0;-1.8703936198934439
V2;CD;0;5;5259.0;-2.298967278277009
V2;CD;0;6;5259.0;-2.6139087520782214
V2;CD;0;7;5259.0;-2.71696542708459
V2;CD;0;8;5259.0;-2.5943782089868526
V2;CD;0;9;5259.0;-2.3184048239850013
V2;CD;0;10;5259.0;-1.965164267637844
V2;CD;1;0;4124.0;-1.760343132681798
V2;CD;1;1;4124.0;-1.5503031917332162
V2;CD;1;2;4124.0;-1.6251439146661997
V2;CD;1;3;4124.0;-1.8852193039568277
V2;CD;1;4;4124.0;-2.2308833620811774
V2;CD;1;5;4124.0;-2.562490091515328
V2;CD;1;6;4124.0;-2.780393494735357
V2;CD;1;7;4124.0;-2.7889789863001617
V2;CD;1;8;4124.0;-2.5884061000599967
V2;CD;1;9;4124.0;-2.27633516327451
V2;CD;1;10;4124.0;-1.954803284672635
V2;CD;2;0;2180.0;-0.8432916691968662
V2;CD;2;1;2180.0;-0.7439780069684121
V2;CD;2;2;2180.0;-0.8007577896130667
V2;CD;2;3;2180.0;-0.9502108362816196
V2;CD;2;4;2180.0;-1.1289169661248615
V2;CD;2;5;2180.0;-1.2734559982935816
V2;CD;2;6;2180.0;-1.3204077519385704
V2;CD;2;7;2180.0;-1.210177467387424
V2;CD;2;8;2180.0;-0.9740507853337724
V2;CD;2;9;2180.0;-0.7358321940118414
V2;CD;2;10;2180.0;-0.6234793250643925
V2;CD;3;0;2749.0;-1.1013944977346728
V2;CD;3;1;2749.0;-1.0151372907815086
V2;CD;3;2;2749.0;-1.1741231233596128
V2;CD;3;3;2749.0;-1.4867703925715021
V2;CD;3;4;2749.0;-1.861497495519693
V2;CD;3;5;2749.0;-2.2067228293067016
V2;CD;3;6;2749.0;-2.4308647910350443
V2;CD;3;7;2749.0;-2.4459707614577826
V2;CD;3;8;2749.0;-2.250301762085493
V2;CD;3;9;2749.0;-1.92988676717806
V2;CD;3;10;2749.0;-1.5746946281569536
V2;CD;4;0;1999.0;-1.6995225332423667
V2;CD;4;1;1999.0;-1.472639103943261
V2;CD;4;2;1999.0;-1.603296799710147
V2;CD;4;3;1999.0;-1.9654283225942013
V2;CD;4;4;1999.0;-2.4329663746466004
V2;CD;4;5;1999.0;-2.879843657918521
V2;CD;4;6;1999.0;-3.1799928744611394
V2;CD;4;7;1999.0;-3.21273283491688
V2;CD;4;8;1999.0;-2.9853399479451808
V2;CD;4;9;1999.0;-2.6353551176843246
V2;CD;4;10;1999.0;-2.306166782533404
V2;CD;5;0;3020.0;-1.5987445284735686
V2;CD;5;1;3020.0;-1.3575147305277282
V2;CD;5;2;3020.0;-1.5356631712349045
V2;CD;5;3;3020.0;-1.9604243727071724
V2;CD;5;4;3020.0;-2.4590328570566062
V2;CD;5;5;3020.0;-2.8587231463952825
V2;CD;5;6;3020.0;-2.9867297628352745
V2;CD;5;7;3020.0;-2.680642201823235
V2;CD;5;8;3020.0;-2.0240527069820913
V2;CD;5;9;3020.0;-1.3509913573912444
V2;CD;5;10;3020.0;-1.0067303116979178
V2;CD;6;0;275.0;-1.047356045417123
V2;CD;6;1;275.0;-0.7889447321595984
V2;CD;6;2;275.0;-0.8607762301441902
