ROI;Condition;Subject;Depth;PSC
V2;PD;4;1;-1.7643478924310152
V2;PD;4;2;-2.0226360360900593
V2;PD;4;3;-2.3622327948692186
V2;PD;4;4;-2.728386343052278
V2;PD;4;5;-3.129892350136368
V2;PD;4;6;-3.611991306007664
V2;PD;4;7;-4.200306183119359
V2;PD;4;8;-4.886762164421707
V2;PD;4;9;-5.532207859002252
V2;PD;4;10;-5.8327410438289755
V2;PD;5;0;-1.4529513230595403
V2;PD;5;1;-1.566866743197378
V2;PD;5;2;-1.8570014340183403
V2;PD;5;3;-2.2257510458938152
V2;PD;5;4;-2.6056641660290873
V2;PD;5;5;-2.9819817767206134
V2;PD;5;6;-3.2979942294211813
V2;PD;5;7;-3.570179978420604
V2;PD;5;8;-3.7809289157610344
V2;PD;5;9;-3.8687149243018006
V2;PD;5;10;-3.866060475213815
V2;PD;6;0;-1.1509966063664707
V2;PD;6;1;-1.1557469580701325
V2;PD;6;2;-1.0607508136307224
V2;PD;6;3;-1.12519487449451
V2;PD;6;4;-1.2888262758641391
V2;PD;6;5;-1.4764180023737155
V2;PD;6;6;-1.5936226932658712
V2;PD;6;7;-1.7417069175748399
V2;PD;6;8;-1.9798382591754642
V2;PD;6;9;-2.2231500742212655
V2;PD;6;10;-2.2918183419281393
V2;PS;0;0;-1.1825326847968207
V2;PS;0;1;-1.300944698115858
V2;PS;0;2;-1.547354653664014
V2;PS;0;3;-1.8536431271961584
V2;PS;0;4;-2.181736333372737
V2;PS;0;5;-2.5446925794399586
V2;PS;0;6;-2.987351233674629
V2;PS;0;7;-3.480273384097451
V2;PS;0;8;-4.0205741707954905
V2;PS;0;9;-4.5307966613224675
V2;PS;0;10;-4.731023979699772
V2;PS;1;0;-1.542977032501087
V2;PS;1;1;-1.6524786885586709
V2;PS;1;2;-1.855848755103639
V2;PS;1;3;-2.0897108750139974
V2;PS;1;4;-2.3481813279118944
V2;PS;1;5;-2.6650826639798133
V2;PS;1;6;-3.101549676711504
V2;PS;1;7;-3.631236802535787
V2;PS;1;8;-4.2358507375804395
V2;PS;1;9;-4.781191820311622
V2;PS;1;10;-5.0032591324919
V2;PS;2;0;-1.0521825601302126
V2;PS;2;1;-1.1289292565766857
V2;PS;2;2;-1.2702267339707367
V2;PS;2;3;-1.445638018603341
V2;PS;2;4;-1.6349104901526554
V2;PS;2;5;-1.831009281556383
V2;PS;2;6;-2.033831075601869
