ROI;Condition;Subject;Volume;Vertices;PSC
V2;KANIZSA;1;0;541.0;0.00025206262415105647
V2;KANIZSA;1;1;541.0;-0.004369015043432062
V2;KANIZSA;1;2;541.0;-0.007477733221921054
V2;KANIZSA;1;3;541.0;-0.010082331570712004
V2;KANIZSA;1;4;541.0;-0.011594685641202059
V2;KANIZSA;1;5;541.0;-0.008065863089127974
V2;KANIZSA;1;6;541.0;-0.009074097329919989
V2;KANIZSA;1;7;541.0;-0.0037808797576210714
V2;KANIZSA;1;8;541.0;0.004621050574562766
V2;KANIZSA;1;9;541.0;0.006973613392223011
V2;KANIZSA;1;10;541.0;0.00495711239901456
V2;KANIZSA;2;0;1408.0;0.001485022631558505
V2;KANIZSA;2;1;1408.0;0.0022598071531815963
V2;KANIZSA;2;2;1408.0;0.00032284043051979757
V2;KANIZSA;2;3;1408.0;-0.005617255514318293
V2;KANIZSA;2;4;1408.0;-0.009491210634058172
V2;KANIZSA;2;5;1408.0;-0.009103823791850697
V2;KANIZSA;2;6;1408.0;-0.009878613732077858
V2;KANIZSA;2;7;1408.0;-0.007489675825292414
V2;KANIZSA;2;8;1408.0;-0.0025826367464932528
V2;KANIZSA;2;9;1408.0;-0.0003228295933116566
V2;KANIZSA;2;10;1408.0;0.00032284043051979757
V2;KANIZSA;3;0;1228.0;0.0034794157201593775
V2;KANIZSA;3;1;1228.0;0.005709606667109684
V2;KANIZSA;3;2;1228.0;0.005674445437337053
V2;KANIZSA;3;3;1228.0;0.0004996179330604145
V2;KANIZSA;3;4;1228.0;-0.002706396436566409
V2;KANIZSA;3;5;1228.0;-0.0008669184557082483
V2;KANIZSA;3;6;1228.0;0.0004537718198367659
V2;KANIZSA;3;7;1228.0;0.0033873201689263092
V2;KANIZSA;3;8;1228.0;0.007247793225781224
V2;KANIZSA;3;9;1228.0;0.009315638049462237
V2;KANIZSA;3;10;1228.0;0.004433770293539348
V2;KANIZSA_ROTATED;0;0;1479.0;-0.0021513266996903853
V2;KANIZSA_ROTATED;0;1;1479.0;-0.0017210516062649813
V2;KANIZSA_ROTATED;0;2;1479.0;-0.003257729790427468
V2;KANIZSA_ROTATED;0;3;1479.0;-0.004487059333107688
V2;KANIZSA_ROTATED;0;4;1479.0;-0.004548522559079257
V2;KANIZSA_ROTATED;0;5;1479.0;-0.008175053379752419
V2;KANIZSA_ROTATED;0;6;1479.0;-0.004056789658286355
V2;KANIZSA_ROTATED;0;7;1479.0;-0.003872394561767578
V2;KANIZSA_ROTATED;0;8;1479.0;-0.004548517140475186
V2;KANIZSA_ROTATED;0;9;1479.0;-0.0018440051512284713
V2;KANIZSA_ROTATED;0;10;1479.0;0.0006761442531238903
V2;KANIZSA_ROTATED;1;0;541.0;0.0006721507419239391
V2;KANIZSA_ROTATED;1;1;541.0;-0.0011762597344138405
V2;KANIZSA_ROTATED;1;2;541.0;-0.003024686466563832
V2;KANIZSA_ROTATED;1;3;541.0;-0.010082336989316073
V2;KANIZSA_ROTATED;1;4;541.0;-0.0052932229909029875
V2;KANIZSA_ROTATED;1;5;541.0;-0.007225665179165927
V2;KANIZSA_ROTATED;1;6;541.0;-0.003276749090714888
V2;KANIZSA_ROTATED;1;7;541.0;0.0010082559152082963
V2;KANIZSA_ROTATED;1;8;541.0;-0.0008401924913579768
V2;KANIZSA_ROTATED;1;9;541.0;0.003696853464299982
V2;KANIZSA_ROTATED;1;10;541.0;0.004453030499545011
V2;KANIZSA_ROTATED;2;0;1408.0;-0.0010330568660389292
V2;KANIZSA_ROTATED;2;1;1408.0;-0.0005165284330194646
V2;KANIZSA_ROTATED;2;2;1408.0;0.0
V2;KANIZSA_ROTATED;2;3;1408.0;-0.003744840621948242
V2;KANIZSA_ROTATED;2;4;1408.0;-0.005746386267922141
V2;KANIZSA_ROTATED;2;5;1408.0;-0.0066503123803572225
V2;KANIZSA_ROTATED;2;6;1408.0;-0.005746391686526212
V2;KANIZSA_ROTATED;2;7;1408.0;-0.003099170598116788
V2;KANIZSA_ROTATED;2;8;1408.0;-0.00393853404305198
V2;KANIZSA_ROTATED;2;9;1408.0;-0.0008393580263311213
V2;KANIZSA_ROTATED;2;10;1408.0;0.0005811019377274947
V2;KANIZSA_ROTATED;3;0;1228.0;-0.0010330568660389292
V2;KANIZSA_ROTATED;3;1;1228.0;-0.0005165284330194646
V2;KANIZSA_ROTATED;3;2;1228.0;0.0
V2;KANIZSA_ROTATED;3;3;1228.0;-0.003744840621948242
V2;KANIZSA_ROTATED;3;4;1228.0;-0.005746386267922141
V2;KANIZSA_ROTATED;3;5;1228.0;-0.0066503123803572225
V2;KANIZSA_ROTATED;3;6;1228.0;-0.005746391686526212
V2;KANIZSA_ROTATED;3;7;1228.0;-0.003099170598116788
V2;KANIZSA_ROTATED;3;8;1228.0;-0.00393853404305198
V2;KANIZSA_ROTATED;3;9;1228.0;-0.0008393580263311213
V2;KANIZSA_ROTATED;3;10;1228.0;0.0005811019377274947
