ROI;Condition;Subject;Depth;PSC
V1;CD;6;3;-1.4663289350490103
V1;CD;6;4;-1.6840976678348838
V1;CD;6;5;-1.900582259322772
V1;CD;6;6;-2.0922675633601515
V1;CD;6;7;-2.2448350667555244
V1;CD;6;8;-2.3716658573488694
V1;CD;6;9;-2.440381278284927
V1;CD;6;10;-2.4390971820093514
V2;PD;0;0;-0.9940393195333965
V2;PD;0;1;-1.0652436945960575
V2;PD;0;2;-1.22088061458661
V2;PD;0;3;-1.424299592090936
V2;PD;0;4;-1.660464546752882
V2;PD;0;5;-1.9615753492710106
V2;PD;0;6;-2.389007367511431
V2;PD;0;7;-2.9046728393614347
V2;PD;0;8;-3.481522512784444
V2;PD;0;9;-4.014333633823435
V2;PD;0;10;-4.208773675145134
V2;PD;1;0;-1.625133778923393
V2;PD;1;1;-1.7647892448323623
V2;PD;1;2;-1.9985805597238466
V2;PD;1;3;-2.277737590370368
V2;PD;1;4;-2.5857036309658543
V2;PD;1;5;-2.939725224546625
V2;PD;1;6;-3.385231520913725
V2;PD;1;7;-3.913766832614909
V2;PD;1;8;-4.536291344213932
V2;PD;1;9;-5.063719584562343
V2;PD;1;10;-5.27805124976704
V2;PD;2;0;-0.6631454470211893
V2;PD;2;1;-0.6899154075711659
V2;PD;2;2;-0.7438842265810302
V2;PD;2;3;-0.8350896148569433
V2;PD;2;4;-0.9551502067939638
V2;PD;2;5;-1.1074651263792703
V2;PD;2;6;-1.298646744425611
V2;PD;2;7;-1.5106798452358827
V2;PD;2;8;-1.7347059246988874
V2;PD;2;9;-1.926940153268058
V2;PD;2;10;-2.035505690430728
V2;PD;3;0;-0.8977719272195196
V2;PD;3;1;-1.0112733219021712
V2;PD;3;2;-1.2147101144859263
V2;PD;3;3;-1.435914585729789
V2;PD;3;4;-1.6771729290343595
V2;PD;3;5;-1.9611156694329697
V2;PD;3;6;-2.3348349923745944
V2;PD;3;7;-2.758095790248433
V2;PD;3;8;-3.2108010216912612
V2;PD;3;9;-3.61063875334815
V2;PD;3;10;-3.757858868217303
