ROI;Condition;Subject;Depth;PSC
V2;PD;6;9;0.17562707980957862
V2;PD;6;10;0.1483977466872962
V2;PS;0;0;0.6939174981216577
V2;PS;0;1;0.5623257243943449
V2;PS;0;2;0.547164946891932
V2;PS;0;3;0.6222918509426298
V2;PS;0;4;0.7615631218746496
V2;PS;0;5;0.9388354450162024
V2;PS;0;6;1.1279655056954994
V2;PS;0;7;1.3010927596500992
V2;PS;0;8;1.389560497827892
V2;PS;0;9;1.2831803482966078
V2;PS;0;10;0.86989959519275
V2;PS;1;0;0.6486615502679725
V2;PS;1;1;0.38253875024173256
V2;PS;1;2;0.29870588529689535
V2;PS;1;3;0.34113230348740076
V2;PS;1;4;0.4537873528671884
V2;PS;1;5;0.5806403814901981
V2;PS;1;6;0.66566073741037
V2;PS;1;7;0.6550092956508693
V2;PS;1;8;0.5469109626632943
V2;PS;1;9;0.3925933183764171
V2;PS;1;10;0.2456632168867949
V2;PS;2;0;0.19184415435434704
V2;PS;2;1;0.1898828402885648
V2;PS;2;2;0.20786631318365262
V2;PS;2;3;0.23221564031324585
V2;PS;2;4;0.24935188895097993
V2;PS;2;5;0.24569612637049035
V2;PS;2;6;0.20766941984541248
V2;PS;2;7;0.12304372496282358
V2;PS;2;8;0.011684004877110812
V2;PS;2;9;-0.07387317741534723
V2;PS;2;10;-0.07962464056810423
V2;PS;3;0;-0.7049074954993653
V2;PS;3;1;-0.5700615043502718
V2;PS;3;2;-0.4011603705342748
V2;PS;3;3;-0.22534508475196882
V2;PS;3;4;-0.06975663770394805
V2;PS;3;5;0.038463979909193244
V2;PS;3;6;0.07217577738686098
V2;PS;3;7;0.006196274358168304
V2;PS;3;8;-0.13812874647336595
V2;PS;3;9;-0.2920863994824544
V2;PS;3;10;-0.38483750395356014
V2;PS;4;0;-0.1904657246491549
V2;PS;4;1;-0.12624614519872981
V2;PS;4;2;-0.1283784720965783
V2;PS;4;3;-0.1805339690055718
V2;PS;4;4;-0.26638389958858166
V2;PS;4;5;-0.36959952750847946
V2;PS;4;6;-0.47385211642813674
V2;PS;4;7;-0.5633920321000212
V2;PS;4;8;-0.6362273488589791
V2;PS;4;9;-0.7043718819665504
V2;PS;4;10;-0.7804681602076016
V2;PS;5;0;0.006458474373747281
V2;PS;5;1;-0.054726943686648856
V2;PS;5;2;-0.17366610524073892
V2;PS;5;3;-0.319445420754911
V2;PS;5;4;-0.46115130069555327
V2;PS;5;5;-0.5678701555290537
V2;PS;5;6;-0.6086883957218006
V2;PS;5;7;-0.5548852110742534
V2;PS;5;8;-0.42983357520421084
V2;PS;5;9;-0.3099394239897281
V2;PS;5;10;-0.27398932713106394
V2;PS;6;0;0.3478313608370476
V2;PS;6;1;0.37064453542904047
V2;PS;6;2;0.384884649004091
V2;PS;6;3;0.3871205504219594
V2;PS;6;4;0.37392108854240574
V2;PS;6;5;0.34185511222518994
V2;PS;6;6;0.28749147033007194
V2;PS;6;7;0.20804786347158305
V2;PS;6;8;0.11615674126217801
V2;PS;6;9;0.04014320878976476
V2;PS;6;10;0.009036809755385913
V2;CD;0;0;0.06829176141969069
V2;CD;0;1;0.3021716279093597
V2;CD;0;2;0.4580558613128354
V2;CD;0;3;0.5429872483029725
V2;CD;0;4;0.5640085755526261
V2;CD;0;5;0.5281626297346509
V2;CD;0;6;0.44249219752190166
